country,carrier,min,max
BE,OCGT,3499,
DE,OCGT,15004,
GB,OCGT,3314,
NL,OCGT,7504,
BE,CCGT,3499,
DE,CCGT,15004,
GB,CCGT,3314,
NL,CCGT,7504,
BE,onwind,4500,
DE,onwind,102000,
GB,onwind,31150,
NL,onwind,10900,
BE,offwind-ac,1480,
DK,offwind-ac,4200,
GB,offwind-ac,12500,
NL,offwind-ac,5500,
BE,offwind-dc,3100,
DE,offwind-dc,35000,
GB,offwind-dc,63700,
NL,offwind-dc,22000,
BE,solar,16670,
DE,solar,192000,
GB,solar,57200,
NL,solar,56000,
BE,battery,4600,
DE,battery,6000,
GB,battery,16100,
NL,battery,6000,
BE,H2 electrolysis,2000,
DE,H2 electrolysis,8000,
GB,H2 electrolysis,11700,
NL,H2 electrolysis,15200,